t (s);p(0) (bar); p(L) (bar);v(0) m/s; v(L) (m/s);T(0) (C); T(L) (C);rho(0) (kg/m3); rho(L) (kg/m3);mp(0) (kg/s), mp(L) (kg/s)
8.010009e-02; 1.100000e+00; 1.087323e+00; 9.528111e+00; 1.250751e+01; 2.930000e+02; 2.928634e+02; 1.308107e+00; 1.293635e+00; 9.789034e-02; 1.270786e-01
8.072073e-02; 1.100000e+00; 1.087391e+00; 9.518130e+00; 1.248190e+01; 2.930000e+02; 2.928684e+02; 1.308107e+00; 1.293694e+00; 9.778780e-02; 1.268242e-01
8.134155e-02; 1.100000e+00; 1.087456e+00; 9.508030e+00; 1.245704e+01; 2.930000e+02; 2.928718e+02; 1.308107e+00; 1.293756e+00; 9.768404e-02; 1.265776e-01
8.196255e-02; 1.100000e+00; 1.087518e+00; 9.497618e+00; 1.243285e+01; 2.930000e+02; 2.928737e+02; 1.308107e+00; 1.293821e+00; 9.757706e-02; 1.263382e-01
8.258374e-02; 1.100000e+00; 1.087578e+00; 9.486460e+00; 1.240908e+01; 2.930000e+02; 2.928744e+02; 1.308107e+00; 1.293889e+00; 9.746243e-02; 1.261034e-01
8.320511e-02; 1.100000e+00; 1.087637e+00; 9.473697e+00; 1.238548e+01; 2.930000e+02; 2.928742e+02; 1.308107e+00; 1.293960e+00; 9.733130e-02; 1.258704e-01
8.382666e-02; 1.100000e+00; 1.087695e+00; 9.457820e+00; 1.236187e+01; 2.930000e+02; 2.928734e+02; 1.308107e+00; 1.294033e+00; 9.716818e-02; 1.256375e-01
8.444839e-02; 1.100000e+00; 1.087754e+00; 9.436495e+00; 1.233820e+01; 2.930000e+02; 2.928722e+02; 1.308107e+00; 1.294108e+00; 9.694909e-02; 1.254043e-01
8.507030e-02; 1.100000e+00; 1.087813e+00; 9.406626e+00; 1.231452e+01; 2.930000e+02; 2.928704e+02; 1.308107e+00; 1.294186e+00; 9.664223e-02; 1.251711e-01
8.569237e-02; 1.100000e+00; 1.087871e+00; 9.364956e+00; 1.229089e+01; 2.930000e+02; 2.928681e+02; 1.308107e+00; 1.294266e+00; 9.621412e-02; 1.249386e-01
8.631259e-02; 1.100000e+00; 1.087928e+00; 9.309769e+00; 1.226745e+01; 2.930000e+02; 2.928651e+02; 1.308107e+00; 1.294347e+00; 9.564713e-02; 1.247082e-01
8.692640e-02; 1.100000e+00; 1.087985e+00; 9.243896e+00; 1.224432e+01; 2.930000e+02; 2.928615e+02; 1.308107e+00; 1.294430e+00; 9.497036e-02; 1.244811e-01
8.753649e-02; 1.100000e+00; 1.088041e+00; 9.177131e+00; 1.222130e+01; 2.930000e+02; 2.928572e+02; 1.308107e+00; 1.294515e+00; 9.428443e-02; 1.242551e-01
